Store,Total_Sales,Average_Sales,Total_Customers,Average_Customers
140,5833328,6192.492569002123,752581,798.9182590233546
141,4305156,4570.229299363057,475445,504.71868365180467
142,3586489,3807.3131634819533,443045,470.32377919320595
143,4919195,5222.075371549894,453411,481.328025477707
144,4823879,6363.956464379948,455556,600.9973614775726
145,5072096,6691.419525065963,770814,1016.9050131926122
146,6086195,6460.928874734607,547187,580.8779193205945
147,6397583,6791.489384288748,685221,727.4108280254777
148,6772949,7189.967091295117,642470,682.0276008492569
149,3462975,4568.568601583113,302428,398.98153034300793
150,6599117,7005.432059447983,643191,682.7929936305733
151,5269496,5593.944798301486,508566,539.8789808917197
152,4317171,4582.984076433121,484073,513.8779193205945
153,5505047,5843.998938428875,493792,524.1953290870488
154,6824045,7244.209129511677,575933,611.3938428874735
155,4290509,5660.302110817942,411372,542.7071240105541
156,5443980,5779.171974522293,557269,591.5806794055202
157,7574054,8040.3970276008495,771078,818.5541401273886
158,6354198,6745.4331210191085,405068,430.0084925690021
159,4827383,6368.579155672824,433591,572.0197889182058
160,4475644,4751.214437367304,436723,463.6125265392781
161,5649774,5997.636942675159,638171,677.463906581741
162,6066911,6440.457537154989,433998,460.71974522292993
163,5722186,6074.507430997877,682711,724.7462845010616
164,3868966,5104.176781002639,394629,520.6187335092349
165,2486031,3279.7242744063324,262891,346.82189973614777
166,4533193,4812.306794055202,636652,675.8513800424629
167,7250708,7697.1422505307855,823044,873.71974522293
168,5840824,6200.450106157113,568177,603.160297239915
169,5529699,5870.168789808918,526944,559.3885350318471
170,3902355,4142.627388535032,423591,449.671974522293
171,6566306,6970.6008492569,675584,717.1804670912951
172,4342600,5729.023746701847,540457,713.0039577836411
173,6454502,6851.912951167728,789125,837.7123142250531
174,3692528,4871.408970976253,298263,393.4868073878628
175,4535086,4814.316348195329,541515,574.8566878980891
176,4111700,4364.861995753716,492327,522.640127388535
177,3115395,3307.2133757961783,378516,401.8216560509554
178,7870142,8354.715498938429,720381,764.7356687898089
179,5683019,6032.928874734607,744593,790.4384288747347
180,5660528,6009.053078556263,661099,701.8036093418259
181,3976421,5245.937994722955,416656,549.6781002638522
182,4142935,4398.02016985138,326297,346.3874734607219
183,2945836,3886.3271767810024,367233,484.47625329815304
184,5123769,5439.245222929936,462834,491.3312101910828
185,5621764,5967.902335456475,427459,453.77813163481954
186,2353548,3104.9445910290237,237019,312.68997361477574
187,4923311,5226.444798301486,608155,645.5997876857749
188,3884836,4124.029723991507,341389,362.4087048832272
189,6826322,7246.626326963907,652121,692.2728237791932
190,4477750,5907.321899736147,408097,538.38654353562
191,4253819,5611.898416886544,444020,585.778364116095
192,5608471,7399.038258575198,401447,529.61345646438
193,4166302,4422.825902335457,607349,644.7441613588111
194,3752516,3983.5626326963907,324514,344.4946921443737
195,8345567,8859.412951167727,1011485,1073.7632696390658
196,4079175,4330.334394904458,544939,578.4915074309979
197,5367788,5698.288747346072,660348,701.0063694267516
198,2268273,2407.933121019108,264690,280.9872611464968
199,6197488,6579.074309978769,486550,516.5074309978769
200,6021315,6392.054140127389,753802,800.2144373673036
201,4089245,4341.024416135881,346044,367.3503184713376
202,4737388,5029.074309978769,397835,422.3301486199575
203,5298238,5624.456475583864,690154,732.6475583864119
204,3412446,4501.90765171504,326039,430.1306068601583
205,5124867,5440.410828025478,689282,731.7218683651805
206,5575733,5919.037154989384,623126,661.4925690021231
207,8768418,9308.299363057326,1019499,1082.2707006369426
208,2302052,2443.791932059448,324162,344.1210191082803
209,4928424,5231.872611464968,509083,540.4278131634819
210,2488114,2641.3099787685774,254156,269.80467091295117
211,10187567,10814.826963906582,1164871,1236.5934182590233
212,3744115,3974.644373673036,361234,383.4755838641189
213,6334081,6724.077494692145,508427,539.7314225053078
214,7269531,7717.124203821656,557336,591.651804670913
215,3920679,5172.399736147757,304466,401.67018469656995
216,5607978,5953.267515923567,688834,731.2462845010616
217,3685496,3912.416135881104,504018,535.0509554140127
218,3121555,4118.146437994723,433160,571.4511873350923
219,2441162,2591.467091295117,316620,336.11464968152865
220,3807392,4041.817409766454,500228,531.0276008492569
221,4564321,4845.351380042463,433356,460.03821656050957
222,3906246,4146.75796178344,440266,467.3736730360934
223,5656109,6004.361995753716,577676,613.2441613588111
224,5151315,5468.487261146497,371919,394.81847133757964
225,4064054,4314.28237791932,435047,461.8333333333333
226,5667944,6016.925690021231,549052,582.8577494692145
227,4623704,4908.390658174098,430968,457.5031847133758
228,6190043,6571.170912951167,462038,490.48619957537153
229,6734738,7149.4033970276005,571982,607.1995753715499
230,5928326,6293.339702760085,737138,782.5244161358811
231,2967114,3914.3984168865436,245380,323.7203166226913
232,2583221,2742.272823779193,232738,247.06794055201698
233,7365681,7819.1942675159235,805731,855.3407643312102
234,8625334,9156.405520169852,798258,847.4076433121019
235,4635585,4921.003184713376,391382,415.47983014861995
236,5581738,5925.411889596603,677994,719.7388535031847
237,3556217,3775.1772823779193,450589,478.33227176220805
238,5868876,6230.229299363057,843640,895.5838641188959
239,3950473,4193.708067940552,367741,390.3832271762208
240,3772636,4004.9214437367305,360447,382.640127388535
241,5128334,5444.091295116773,548976,582.7770700636943
242,3196707,3393.5318471337578,285726,303.31847133757964
243,4407146,5814.176781002639,594010,783.6543535620053
244,4106186,4359.008492569003,420927,446.843949044586
245,6949075,7376.93736730361,797211,846.296178343949
246,5551547,5893.361995753716,734843,780.0881104033971
247,6698411,7110.839702760085,534178,567.067940552017
248,6555942,6959.598726114649,872228,925.932059447983
249,4144086,4399.24203821656,421584,447.54140127388536
250,6615557,7022.884288747346,513850,545.488322717622
251,14896870,15814.087048832273,1908934,2026.4692144373673
252,8269484,8778.645435244161,630702,669.5350318471337
253,4476698,4752.333333333333,538066,571.1953290870488
254,2341661,2485.839702760085,201507,213.9140127388535
255,4885211,5185.998938428875,498843,529.5573248407643
256,7630314,8100.12101910828,967823,1027.4129511677281
257,4183099,4440.657112526539,495496,526.004246284501
258,3509384,4629.79419525066,307197,405.2730870712401
259,10851871,11520.032908704883,2210980,2347.112526539278
260,5143038,5459.700636942675,714576,758.5732484076433
261,9828244,10433.380042462844,739220,784.7346072186837
262,19516842,20718.51592356688,3204694,3402.0106157112527
263,2306075,3042.315303430079,221342,292.00791556728234
264,5512491,5851.901273885351,727234,772.0106157112526
265,3859812,4097.464968152866,392036,416.1740976645435
266,3424011,3634.831210191083,414483,440.0031847133758
267,7282702,7731.1061571125265,881620,935.9023354564756
268,3826840,4062.4628450106156,468855,497.7229299363057
269,7281084,7729.388535031847,959027,1018.0753715498938
270,7284633,7733.156050955414,944773,1002.9437367303609
271,6116519,6493.119957537155,617651,655.6804670912951
272,4871343,5171.277070063694,491687,521.9607218683652
273,5499466,5838.074309978769,548145,581.8949044585987
274,3794012,4027.6135881104033,925235,982.2027600849257
275,4630070,6108.271767810026,466063,614.8588390501319
276,3191132,3387.6135881104033,406340,431.35881104033973
277,4008491,5288.246701846966,332923,439.212401055409
278,5599459,5944.223991507431,621398,659.6581740976645
279,5532919,7299.365435356201,415873,548.6451187335092
280,4869839,5169.680467091295,404863,429.7908704883227
281,4594724,4877.626326963907,430929,457.46178343949043
282,3456330,3669.140127388535,502531,533.4723991507431
283,4425007,5837.740105540897,446799,589.4445910290237
284,3367042,4442.007915567282,279858,369.20580474934036
285,4025996,4273.881104033971,367256,389.8683651804671
286,3838772,4075.129511677282,335325,355.97133757961785
287,5070793,6689.7005277044855,509417,672.0540897097625
288,3499206,4616.366754617415,262806,346.70976253298153
289,4936879,5240.8481953290875,432447,459.0732484076433
290,5464029,5800.455414012738,531828,564.5732484076433
291,6257971,6643.281316348195,655473,695.8312101910828
292,4422953,4695.2791932059445,541196,574.5180467091295
293,4899830,5201.5180467091295,638439,677.7484076433121
294,4506589,4784.064755838641,598265,635.1008492569002
295,4106780,4359.63906581741,521352,553.452229299363
296,5438463,5773.3152866242035,589505,625.8014861995754
297,5432839,5767.3450106157115,559386,593.828025477707
298,5223940,6891.7414248021105,429979,567.2546174142481
299,5499540,5838.152866242038,602255,639.3365180467091
300,5534680,5875.456475583864,687137,729.4447983014862
301,4342138,4609.488322717622,467376,496.1528662420382
302,2922724,3102.67940552017,252528,268.07643312101914
303,4740126,5031.980891719745,516285,548.0732484076433
304,5541079,5882.249469214437,827856,878.828025477707
305,4176274,4433.411889596603,396325,420.72717622080677
306,2717435,3585.006596306069,291021,383.9327176781003
307,2114322,2244.503184713376,240704,255.5244161358811
308,7183229,7625.508492569003,720753,765.1305732484077
309,5430658,5765.029723991507,460414,488.76220806794055
310,7388018,7842.906581740976,627604,666.2462845010616
311,5184737,5503.967091295117,616333,654.2813163481953
312,4348731,4616.487261146497,420688,446.59023354564755
313,5533037,5873.712314225053,552885,586.9267515923567
314,4002280,4248.704883227177,445010,472.40976645435245
315,3333890,3539.1613588110404,352465,374.1666666666667
316,7677532,8150.246284501061,702532,745.7876857749469
317,3346040,4414.300791556729,360336,475.37730870712403
318,5871619,6233.14118895966,513822,545.4585987261147
319,6105068,6480.963906581741,661449,702.1751592356688
320,11630218,12346.303609341825,1617489,1717.0796178343949
321,4647488,4933.63906581741,456662,484.7791932059448
322,3926557,4168.319532908705,428432,454.81104033970274
323,5737615,6090.886411889596,483870,513.6624203821656
324,4436629,4709.797239915074,562953,597.6146496815287
325,5051539,5362.567940552017,524314,556.5966029723992
326,3901936,4142.182590233546,326200,346.2845010615711
327,6012573,6382.773885350319,723138,767.6624203821656
328,3452551,3665.1284501061573,405391,430.35138004246284
329,5385006,5716.5668789808915,483386,513.1486199575371
330,3245811,3445.6592356687897,348645,370.11146496815286
331,4799307,5094.8057324840765,638940,678.28025477707
332,2908282,3087.348195329087,391168,415.2526539278132
333,7662181,8133.950106157113,993414,1054.5796178343949
334,4228712,4489.07855626327,437907,464.86942675159236
335,12541731,13313.93949044586,2246936,2385.2823779193204
336,10850316,11518.382165605095,1529043,1623.187898089172
337,3943779,4186.601910828025,299850,318.312101910828
338,5637222,5984.3121019108285,487915,517.9564755838641
339,3881031,4119.990445859873,513596,545.2186836518047
340,5084744,5397.817409766454,560590,595.1061571125265
341,4293485,4557.839702760085,584355,620.3343949044586
342,6895670,9097.189973614775,527685,696.1543535620053
343,5608306,5953.615711252654,546982,580.660297239915
344,6649189,7058.587048832272,893298,948.2993630573249
345,2836062,3741.506596306069,307503,405.6767810026385
346,5320960,5648.577494692145,482745,512.468152866242
347,3732856,3962.692144373673,300454,318.95329087048833
348,5255376,6933.213720316623,439128,579.3245382585752
349,5711451,6063.111464968153,580713,616.468152866242
350,5477257,5814.497876857749,413472,438.9299363057325
351,4710510,5000.541401273886,404164,429.0488322717622
352,5246710,5569.755838641189,499372,530.1188959660298
353,5255773,5579.376857749469,1349510,1432.6008492569001
354,6536263,6938.708067940552,549547,583.3832271762208
355,7172668,7614.297239915074,863704,916.8832271762208
356,4443882,4717.496815286624,338618,359.46709129511675
357,5986921,6355.542462845011,781188,829.2866242038217
358,8028461,8522.78237791932,874499,928.3428874734607
359,5337128,5665.740976645436,476709,506.06050955414014
360,5437400,5772.186836518047,593128,629.6475583864119
361,4888169,5189.13906581741,497502,528.1337579617834
362,7323168,7774.0636942675155,898633,953.9628450106158
363,5593213,5937.593418259024,734675,779.9097664543524
364,3510451,3726.5934182590236,437640,464.5859872611465
365,3378609,4457.267810026386,364655,481.07519788918205
366,4833475,5131.077494692145,468724,497.583864118896
367,4119323,4372.954352441614,425547,451.7484076433121
368,7526231,7989.629511677283,553908,588.0127388535032
369,5354973,5684.6847133757965,450860,478.619957537155
370,5959072,6325.9787685774945,495158,525.6454352441614
371,5380900,5712.208067940552,425185,451.36411889596604
372,6844455,7265.875796178344,591494,627.9129511677282
373,3520201,3736.943736730361,245955,261.0987261146497
374,5495584,5833.953290870489,650513,690.5658174097665
375,7148220,7588.343949044586,592001,628.4511677282378
376,6548133,6951.3089171974525,735270,780.5414012738853
377,6129725,6507.13906581741,760021,806.816348195329
378,4927020,5230.382165605096,755752,802.2845010615712
379,3059341,3247.708067940552,366551,389.119957537155
380,11261676,11955.070063694267,1075375,1141.5870488322719
381,7021213,7453.516985138004,752849,799.2027600849257
382,6228961,6612.485138004246,507968,539.2441613588111
383,13489879,14320.466029723992,1720249,1826.1666666666667
384,6937572,7364.726114649681,781105,829.1985138004246
385,4570779,6030.051451187335,407132,537.11345646438
386,6255013,6640.14118895966,502764,533.71974522293
387,7171744,7613.316348195329,915984,972.3821656050956
388,7990920,8482.929936305733,854131,906.7208067940552
389,8104523,8603.527600849256,992082,1053.1656050955414
390,9023552,9579.142250530786,832564,883.8259023354565
391,4392619,4663.077494692145,530324,562.9766454352441
392,5670675,6019.824840764331,559386,593.828025477707
393,4598489,4881.623142250531,457473,485.640127388535
394,6523885,6925.567940552017,516922,548.7494692144373
395,3107536,3298.870488322718,404811,429.7356687898089
396,7973232,8464.152866242039,840769,892.536093418259
397,4342834,4610.2271762208065,584418,620.4012738853503
398,4309274,4574.6008492569,481859,511.5276008492569
399,3457604,4561.482849604222,351419,463.61345646437996
400,6839152,7260.246284501061,938908,996.7176220806795
401,5480695,5818.147558386412,504539,535.604033970276
402,4569233,4850.565817409766,480033,509.5891719745223
403,5817980,6176.19957537155,573879,609.2133757961783
404,3631985,3855.6104033970278,433625,460.32377919320595
405,3521625,3738.455414012739,379921,403.31316348195327
406,4760515,5053.625265392781,369296,392.0339702760085
407,2417555,3189.38654353562,195715,258.19920844327174
408,3673481,3899.6613588110404,361353,383.6019108280255
409,4316867,4582.66135881104,424611,450.7547770700637
410,5019781,5328.8545647558385,624920,663.3970276008492
411,7133158,7572.3545647558385,547362,581.0636942675159
412,5661520,7469.023746701847,401013,529.0408970976254
413,4390211,5791.835092348285,553592,730.3324538258576
414,5020250,5329.352441613588,378114,401.3949044585987
415,4863171,5162.601910828025,406599,431.63375796178343
416,8633413,9164.981953290871,1096337,1163.839702760085
417,5946326,6312.447983014862,626318,664.8811040339702
418,4094061,4346.136942675159,428005,454.3577494692144
419,4163948,4420.326963906582,668016,709.1464968152866
420,2824092,3725.7150395778363,250784,330.8496042216359
421,7517189,7980.030785562632,795282,844.2484076433121
422,3574303,3794.3768577494693,364186,386.60934182590233
423,10200356,10828.403397027601,1776735,1886.1305732484077
424,5395164,5727.350318471337,602495,639.5912951167728
425,2512424,2667.1167728237792,337080,357.8343949044586
426,3948281,4191.381104033971,493761,524.1624203821656
427,4761741,6281.980211081795,480391,633.7612137203166
428,3910828,5159.403693931398,327530,432.0976253298153
429,3309752,4366.427440633245,267103,352.37862796833775
430,5369397,7083.637203166227,435346,574.335092348285
431,7419918,7876.770700636943,780912,828.9936305732484
432,8610571,9140.733545647558,1218907,1293.9564755838642
433,4621066,4905.590233545648,530762,563.4416135881104
434,6160800,8127.704485488127,461312,608.5910290237467
435,2553322,2710.532908704883,299263,317.68895966029726
436,4297398,4561.993630573248,481058,510.6772823779193
437,5746040,6099.830148619958,567017,601.9288747346072
438,4019904,4267.414012738854,408975,434.156050955414
439,5719235,6071.374734607219,693947,736.6740976645435
440,4006273,4252.943736730361,457624,485.8004246284501
441,4929786,5233.3184713375795,545030,578.5881104033971
442,3402587,3612.088110403397,358458,380.52866242038215
443,4095855,4348.041401273886,381307,404.7845010615711
444,9470625,10053.74203821656,1105765,1173.848195329087
445,6673717,7084.625265392781,1052928,1117.7579617834394
446,3842157,4078.7229299363057,494709,525.1687898089172
447,4161176,4417.384288747346,485603,515.5021231422505
448,6609087,7016.015923566879,577957,613.5424628450106
449,8789176,9330.335456475585,1198781,1272.591295116773
450,6830229,7250.773885350319,846853,898.9946921443736
451,4248112,4509.673036093418,358216,380.27176220806797
452,4037476,4286.067940552017,375007,398.0966029723991
453,6896821,7321.466029723992,811228,861.176220806794
454,4519416,4797.6815286624205,551135,585.0690021231422
455,5727571,6080.223991507431,359933,382.0944798301486
456,4822447,5119.370488322717,697454,740.3970276008492
457,3010824,3972.0633245382587,269133,355.05672823219
458,5921634,6286.235668789809,548787,582.5764331210191
459,7194572,7637.549893842887,886078,940.6348195329088
460,2914087,3093.5106157112527,269319,285.9012738853503
461,3759643,3991.1284501061573,370263,393.06050955414014
462,3769419,4001.5063694267515,472848,501.96178343949043
463,4747749,5040.073248407643,755184,801.6815286624204
464,8343864,8857.605095541401,1023585,1086.6082802547771
465,6062752,6436.042462845011,472261,501.3386411889597
466,6007933,6377.8481953290875,588740,624.9893842887474
467,10501035,11147.595541401273,1257034,1334.4309978768576
468,5229014,5550.970276008493,591594,628.0191082802547
469,9330742,9905.246284501061,1192174,1265.5774946921445
470,10174712,10801.180467091295,1377377,1462.183651804671
471,4422266,5834.12401055409,367107,484.31002638522426
472,4080447,4331.6847133757965,543274,576.723991507431
473,2767243,2937.6252653927813,378998,402.3333333333333
474,5885972,6248.377919320595,576183,611.6592356687898
475,5023680,5332.993630573248,761981,808.8970276008492
476,4564251,4845.277070063694,506843,538.0498938428875
477,3864914,5098.831134564643,279830,369.1688654353562
478,5336648,5665.231422505308,548324,582.0849256900212
479,8782548,9323.299363057326,1039144,1103.1252653927813
480,3869738,4108.002123142251,488793,518.8885350318471
481,4026351,4274.25796178344,372314,395.23779193205945
482,6517671,6918.971337579618,720149,764.4893842887474
483,3859771,4097.42144373673,507014,538.2314225053078
484,6050653,6423.198513800425,580053,615.7675159235669
485,3029769,3997.05672823219,261854,345.4538258575198
486,3323793,3528.4426751592355,405098,430.0403397027601
487,5487451,5825.319532908705,530591,563.26008492569
488,2890074,3068.019108280255,304193,322.9225053078556
489,5698967,6049.85881104034,506711,537.9097664543524
490,5131331,6769.565963060686,661634,872.868073878628
491,5242001,5564.756900212315,409706,434.932059447983
492,4825503,6366.098944591029,709936,936.5910290237467
493,6462326,6860.218683651805,629636,668.4033970276008
494,7205637,7649.296178343949,1016989,1079.6061571125265
495,4005216,4251.821656050955,306840,325.73248407643314
496,6059458,6432.545647558386,650918,690.995753715499
497,7077518,7513.288747346072,871875,925.5573248407643
498,4351844,5741.218997361478,550201,725.8588390501319
499,4006203,4252.869426751592,573176,608.4670912951168
500,3330211,4393.418205804749,246036,324.58575197889184
501,3345228,4413.229551451187,365618,482.34564643799473
502,8377408,8893.214437367304,1176212,1248.632696390658
503,5224595,5546.2791932059445,367061,389.6613588110403
504,5231756,5553.881104033971,747470,793.4925690021231
505,3711170,3939.670912951168,462013,490.4596602972399
506,5905867,6269.497876857749,655686,696.0573248407643
507,6587045,6992.616772823779,517083,548.9203821656051
508,5251735,5575.090233545648,514110,545.7643312101911
509,4783674,5078.210191082802,404802,429.7261146496815
510,6385260,6778.407643312102,656074,696.4692144373673
511,4439259,4712.589171974522,635509,674.6380042462845
512,4105679,5416.4630606860155,959539,1265.882585751979
513,14252406,15129.942675159236,1643527,1744.7208067940553
514,3580238,4723.269129287599,375667,495.6029023746702
515,7056301,7490.765392781316,575142,610.5541401273886
516,4579807,4861.790870488323,592467,628.9458598726114
517,4525491,4804.130573248408,494050,524.4692144373673
518,3653972,4820.543535620052,314185,414.49208443271766
519,4160155,4416.30042462845,438316,465.3036093418259
520,3033870,3220.668789808917,323837,343.776008492569
521,4036010,4284.511677282378,332238,352.69426751592357
522,5122860,6758.390501319262,394373,520.2810026385224
523,12175995,12925.684713375796,1397803,1483.867303609342
524,6793232,7211.498938428875,721100,765.4989384288747
525,8012460,8505.79617834395,685569,727.78025477707
526,8312841,8824.671974522293,1139140,1209.2781316348196
527,8383796,8899.995753715499,781383,829.4936305732484
528,8338762,8852.188959660298,744295,790.1220806794055
529,6133846,6511.513800424628,596775,633.5191082802547
530,4198697,4457.215498938429,680230,722.1125265392782
531,3843117,4079.7420382165606,470876,499.8683651804671
532,8487100,9009.660297239916,996269,1057.6104033970275
533,7505547,7967.671974522293,701034,744.1974522292994
534,4684684,6180.321899736147,354298,467.4116094986807
535,6322186,6711.450106157113,718716,762.968152866242
536,6484095,6883.328025477707,687884,730.2377919320594
537,4335799,4602.759023354564,469489,498.395966029724
538,3025475,3211.756900212314,445253,472.66772823779195
539,7035419,9281.555408970977,710498,937.3324538258576
540,3513672,4635.451187335092,243396,321.1029023746702
541,5235513,5557.869426751592,667668,708.7770700636943
542,3885411,5125.872031662269,330680,436.2532981530343
543,2179287,2313.4681528662422,187583,199.13269639065817
544,10993709,11670.604033970276,1439156,1527.7664543524415
545,8284865,8794.973460721869,799891,849.1411889596603
546,10726323,11386.754777070064,1271083,1349.3450106157113
547,3578049,4720.3812664907655,275078,362.89973614775727
548,3896082,4135.968152866242,307908,326.86624203821657
549,3639890,3864.0021231422506,429407,455.8460721868365
550,4665403,4952.657112526539,387883,411.76539278131634
551,5142553,5459.185774946922,774390,822.0700636942676
552,6030778,6402.099787685775,538809,571.984076433121
553,5468991,5805.722929936306,496306,526.864118895966
